EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	21:27:37	0	0.1000	3.576245712941583
2	21:29:01	0	0.1000	1.6267465572285502
3	21:30:26	0	0.1000	1.2932199398645117
4	21:31:51	0	0.1000	1.1177818077274515
5	21:33:15	0	0.1000	1.0296866451449032
6	21:34:40	0	0.1000	0.9302731227554097
7	21:36:05	0	0.1000	0.8873416783783254
8	21:37:30	0	0.1000	0.8345710260769988
9	21:38:55	0	0.1000	0.8028050488969193
10	21:40:19	0	0.1000	0.769371804132869
11	21:41:44	0	0.1000	0.7434782063989323
12	21:43:09	0	0.1000	0.7134135925694357
13	21:44:35	0	0.1000	0.697478834633963
14	21:46:00	0	0.1000	0.654981232660858
15	21:47:25	0	0.1000	0.6490681288363058
16	21:48:51	0	0.1000	0.6350203718801465
17	21:50:16	0	0.1000	0.6019481727735528
18	21:51:41	0	0.1000	0.5960373881779895
19	21:53:05	0	0.1000	0.571467437958227
20	21:54:30	0	0.1000	0.5631542286682355
21	21:55:56	0	0.1000	0.5591391156887329
22	21:57:21	0	0.1000	0.5469877312926552
23	21:58:46	0	0.1000	0.543492383406132
24	22:00:10	0	0.1000	0.5150289349493724
25	22:01:35	1	0.1000	0.5185878202554923
26	22:03:00	0	0.1000	0.5032382932597701
27	22:04:26	1	0.1000	0.5042508806844678
28	22:05:51	0	0.1000	0.48771740151922915
29	22:07:17	0	0.1000	0.47727425799622564
30	22:08:42	1	0.1000	0.4816816206549919
31	22:10:06	0	0.1000	0.46041105548509315
32	22:11:46	1	0.1000	0.4666691600474753
33	22:13:11	0	0.1000	0.4550447771915152
34	22:14:36	0	0.1000	0.4482554853716983
35	22:16:00	0	0.1000	0.4392374910980086
36	22:17:26	1	0.1000	0.44741923635519004
37	22:18:50	0	0.1000	0.4324368980206266
38	22:20:15	0	0.1000	0.42393419299793395
39	22:21:41	1	0.1000	0.4377899808644117
40	22:23:06	0	0.1000	0.40397032364448415
41	22:24:32	1	0.1000	0.4180835625274649
42	22:25:59	2	0.1000	0.40589749664539776
43	22:27:43	3	0.1000	0.4139155642707137
44	22:29:08	0	0.1000	0.40055191476793983
45	22:30:33	0	0.1000	0.3847549316013538
46	22:31:59	1	0.1000	0.39164391398146936
47	22:33:24	0	0.1000	0.378595719444035
48	22:34:49	0	0.1000	0.37545035072142563
49	22:36:15	1	0.1000	0.37854261922685406
50	22:37:39	0	0.1000	0.3668022963065135
51	22:39:04	0	0.1000	0.3653561896821366
52	22:40:29	1	0.1000	0.36685169342009327
53	22:41:55	0	0.1000	0.3547235012431688
54	22:43:19	1	0.1000	0.35747438044393365
55	22:44:44	2	0.1000	0.36117520110233675
56	22:46:09	0	0.1000	0.3506846820251851
57	22:47:35	0	0.1000	0.34869071834166593
58	22:49:01	1	0.1000	0.34916296806422215
59	22:50:26	0	0.1000	0.3443586528065461
60	22:51:50	1	0.1000	0.34437141102986246
61	22:53:15	2	0.1000	0.346735600452823
62	22:54:40	0	0.1000	0.3406031290894445
63	22:56:05	0	0.1000	0.3351760045448436
64	22:57:29	0	0.1000	0.3322265410112052
65	22:58:53	0	0.1000	0.32590263230796856
66	23:00:18	0	0.1000	0.31927544255799883
67	23:01:43	1	0.1000	0.3250151945018693
68	23:03:08	2	0.1000	0.32256935213845744
69	23:04:33	3	0.1000	0.3210709377463105
